,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_learning_rate,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
131,0.00159759521484375,0.0004895968079411017,0.00019831657409667968,0.0003966428361586849,0.001,constant,69,"{'alpha': 0.001, 'learning_rate': 'constant', 'random_state': 69}",0.45760282557657017,0.21513962035502077,0.7366032270991296,-1.0050470783727268,-0.24405253993728526,-0.344609163828975,0.6666810826543027,0.45915113587756506,-0.6007929677014692,-0.9673914793744283,-0.06267153376522963,0.6244606591846285,22
132,0.0042225360870361325,0.0015358919025539649,0.000213623046875,0.000640869140625,0.001,optimal,12345,"{'alpha': 0.001, 'learning_rate': 'optimal', 'random_state': 12345}",-1.6679253390616645e+26,-2.890750188295619e+26,-3.3609276913250665e+25,-4.630889714718916e+26,-2.038352775681824e+26,-3.799319880170903e+26,-1.1613147834387047e+26,-3.721972775055613e+25,-3.320660388331369e+25,-6.550845465133741e+26,-2.377975423197258e+26,1.9811506491350694e+26,70
133,0.004105257987976074,0.004281018272373226,0.0,0.0,0.001,optimal,123,"{'alpha': 0.001, 'learning_rate': 'optimal', 'random_state': 123}",-6.144684346444357e+25,-1.0884538790547302e+26,-2.4037466072962217e+25,-1.8724341331258193e+26,-1.3549511150763647e+26,-2.0792224403777307e+27,-2.8300332048269327e+25,-5.3394625727659576e+25,-8.936495561644177e+25,-2.7696743601436513e+26,-3.0443180120475635e+26,5.9618349066076974e+26,71
134,0.004755735397338867,0.00438760762264679,0.0002050638198852539,0.0006151914596557617,0.001,optimal,666,"{'alpha': 0.001, 'learning_rate': 'optimal', 'random_state': 666}",-4.440000059874269e+26,-3.574301020509986e+26,-1.5708678548937543e+25,-2.4054604972718923e+26,-7.105836474673387e+25,-4.2081383485020874e+26,-5.9298849737331676e+25,-5.218858908744154e+25,-1.5619685354298557e+26,-2.794662793042725e+26,-2.0967076075835266e+26,1.530541094378383e+26,68
135,0.003743481636047363,0.0042444417521154375,0.00020592212677001954,0.0006177663803100586,0.001,optimal,123123,"{'alpha': 0.001, 'learning_rate': 'optimal', 'random_state': 123123}",-1.074097232855887e+26,-4.523699560934114e+26,-5.783666835809104e+25,-1.277486115027598e+26,-7.480362993090255e+26,-3.119056087903607e+26,-6.85176749555981e+25,-1.6480233841303054e+25,-1.99188560224527e+25,-3.427374100987092e+26,-2.2529610422573e+26,2.2537352214956508e+26,69
136,0.0038387537002563476,0.003975210181185313,0.0,0.0,0.001,optimal,777,"{'alpha': 0.001, 'learning_rate': 'optimal', 'random_state': 777}",-1.7046291900616392e+26,-1.4366757856999471e+26,-4.173732485466875e+25,-1.3638980904617485e+26,-3.1547783636675295e+26,-8.59933631737272e+26,-4.919186961019046e+25,-2.382702129009327e+25,-3.657463158845397e+25,-1.8472475689652518e+25,-1.7957350977594175e+26,2.431572185435143e+26,67
137,0.003748917579650879,0.004186307614503906,9.980201721191407e-05,0.0002994060516357422,0.001,optimal,69,"{'alpha': 0.001, 'learning_rate': 'optimal', 'random_state': 69}",-4.8658390768629205e+25,-4.7582919098091685e+26,-2.181628283971676e+26,-8.85440678733365e+26,-3.9690527038254786e+26,-3.050868766094054e+27,-8.168029093033311e+25,-1.3944603300083063e+25,-1.0595855321310977e+26,-1.7205899310975978e+26,-5.449507565909965e+26,8.71991952813965e+26,72
138,0.002593111991882324,0.0006615013688064066,0.00019941329956054687,0.00039882661337375843,0.001,invscaling,12345,"{'alpha': 0.001, 'learning_rate': 'invscaling', 'random_state': 12345}",0.4964648879275102,0.25084387883889103,0.6686564974378941,-0.8302637529140218,-0.09506508727283025,-0.38003208838702895,0.726731094265191,0.47768907798485594,-0.6260963557831845,-1.3815479491509306,-0.06926197970536536,0.6788464708080588,33
139,0.0022116661071777343,0.002254179165231591,9.965896606445312e-05,0.0002989768981933594,0.001,invscaling,123,"{'alpha': 0.001, 'learning_rate': 'invscaling', 'random_state': 123}",0.48797787756604627,0.24049333668477801,0.6736156951714458,-0.7605817611032148,-0.15414564522557894,-0.36911851371628424,0.7040497976578454,0.46422805424810765,-0.6179677621766921,-1.3603617367770973,-0.06918106576706443,0.6621188221536363,32
140,0.0023080587387084963,0.0021172697612058477,0.0002997636795043945,0.0004578981605548737,0.001,invscaling,666,"{'alpha': 0.001, 'learning_rate': 'invscaling', 'random_state': 666}",0.5030063620764806,0.2651638680249251,0.6472403368682751,-0.8499966793742018,-0.2207128296995411,-0.36144992259029673,0.7103947448302892,0.47655555886020573,-0.5986820839613738,-1.3595142581508886,-0.07879949031161262,0.6723446615202386,52
141,0.00209348201751709,0.0005360748206644281,0.0003989458084106445,0.0004886068837118707,0.001,invscaling,123123,"{'alpha': 0.001, 'learning_rate': 'invscaling', 'random_state': 123123}",0.4941384088781706,0.26058749937768266,0.6543044093136996,-0.8326933094449958,-0.16163377430476378,-0.42666515703891217,0.6863232382395569,0.4922067926551531,-0.6168715823965787,-1.329388321217531,-0.07796917959385186,0.6664877114400206,48
142,0.002393627166748047,0.00048874380742124,0.0004987001419067382,0.0004987001601440438,0.001,invscaling,777,"{'alpha': 0.001, 'learning_rate': 'invscaling', 'random_state': 777}",0.4890210484361307,0.2685724475193353,0.6560454330129142,-0.8365418751282026,-0.12770838879494795,-0.4165052243377356,0.7074443832408596,0.4857785797430755,-0.6056293424362877,-1.337627152711255,-0.07171500914561138,0.668753912699459,37
143,0.0021943569183349608,0.000398425592630126,0.0004983425140380859,0.0004983459200061482,0.001,invscaling,69,"{'alpha': 0.001, 'learning_rate': 'invscaling', 'random_state': 69}",0.4748252207601702,0.2750982103323485,0.6546495762309001,-0.8367130472571125,-0.100944367704205,-0.3769369014160142,0.7037458494828613,0.4682291572514159,-0.6858128388039737,-1.3228156282753343,-0.07466747693989435,0.6679063466718036,41
144,0.0015957355499267578,0.000488519470769601,9.968280792236329e-05,0.00029904842376708983,0.0001,constant,12345,"{'alpha': 0.0001, 'learning_rate': 'constant', 'random_state': 12345}",0.4822316959026386,0.3003645548133892,0.6673305541577998,-1.0782705561365096,-0.20642945245298305,-0.13651971130748874,0.7290007146142,0.5269151248114936,-0.5802823314007848,-0.8241636446906253,-0.011982305168887009,0.6177081525394966,3
145,0.0014961719512939452,0.0004985831216123433,9.970664978027343e-05,0.00029911994934082035,0.0001,constant,123,"{'alpha': 0.0001, 'learning_rate': 'constant', 'random_state': 123}",0.5144563982104102,0.3351980317050144,0.5654996735191453,-0.667937749984524,0.012081307038564248,-0.12462031214658253,0.6710547500475801,0.5385869638546179,-0.6812264692803645,-1.5477507849258196,-0.03846581919619583,0.688754397613573,10
